Trial,Amplitude_px,Width_px,ID_bits,MT_ms,HazardTriggered,HazardResponded
1,500,140,2.193,1356.1,1,1
2,250,80,2.044,676.3,0,
3,250,80,2.044,516.3,0,
4,250,40,2.858,771.9,0,
5,250,140,1.478,475.8,0,
6,500,40,3.755,884.2,0,
7,750,140,2.668,1119.2,1,1
8,250,140,1.478,1113.9,1,1
9,250,140,1.478,849.7,0,
10,750,40,4.304,1434.0,1,1
11,500,140,2.193,744.2,0,
12,500,40,3.755,789.0,0,
13,250,40,2.858,748.7,0,
14,750,140,2.668,668.6,0,
15,500,140,2.193,716.0,0,
16,500,80,2.858,680.0,1,0
17,250,80,2.044,896.9,0,
18,250,40,2.858,845.2,0,
19,500,40,3.755,888.3,0,
20,750,80,3.375,983.5,1,1
21,500,80,2.858,767.7,0,
22,750,40,4.304,924.2,0,
23,500,80,2.858,771.5,0,
24,750,140,2.668,953.0,1,1
25,750,80,3.375,1003.7,1,1
26,750,80,3.375,840.0,0,
27,750,40,4.304,1110.0,0,
